C1:1
C10:1
C11:1
C2:1
C20:1
C21:1
C23:1
C3:1
C4:1
C5:1
C6:1
C7:1
G***:1
J1:1
L2:1
R1:1
R10:1
R18:1
R19:1
R2:1
R3:1
R4:1
R48:1
R49:1
R9:1
U1:1
U2:1
U3:1
U4:1
U5:1
